course_name,price,duration,description
Accounting Assistant I,203,4,Foldable reclining camping chair with cup holder.
Recruiter,859,3,Lightweight tripod designed for smartphone photography.
Software Engineer IV,752,5,Hand-poured candles made of natural soy wax.
Software Test Engineer II,268,1.5,Rechargeable hand warmer for cold weather comfort.
Human Resources Manager,965,9.5,"Savory, protein-rich beef jerky for on-the-go snacking."
Desktop Support Technician,182,3,Lightweight tennis racket for beginners and advanced players.
Senior Cost Accountant,212,3,Spicy buffalo sauce ideal for wings or dipping.
Assistant Media Planner,500,3,Rugged phone case for drop protection.
Graphic Designer,321,3,"Creamy ranch dressing, perfect for salads and dips."
Editor,396,3,Compact and portable backpack for day trips and travel.
Environmental Tech,402,3,Crunchy pretzels dipped in rich dark chocolate.
Budget/Accounting Analyst II,456,5,A flavorful sauce for stir-frying vegetables and meats.
Paralegal,769,1.5,"Creamy dip made with real onions and spices, great for chips and veggies."
VP Quality Control,809,3,Safe and fun trampoline for children.
Structural Analysis Engineer,512,1.5,Fine granulated sugar for all your baking needs.
Account Coordinator,799,3,"Crunchy granola bars made with almond butter, oats, and honey, perfect for on-the-go snacking."
Food Chemist,516,3,Durable 50-foot garden hose with nozzle.
Sales Associate,845,1.5,"Refreshing coconut water, perfect for hydration."
Business Systems Development Analyst,817,3,Adjustable window blinds for privacy and light control.
Web Designer II,681,22,Make delicious waffles with this user-friendly device.
Design Engineer,241,9.5,Handy keychain that emits a loud alarm for personal safety.
Technical Writer,198,4,Brews coffee with a smooth flavor without bitterness.
Web Designer IV,872,3,Regulate water temperature for safe and comfortable showers.
Software Test Engineer II,350,1.5,Soft throw blanket for cozy home decor.
Pharmacist,656,1.5,Bright LED flashlight with adjustable beam.
Compensation Analyst,456,3,Savory soup made with leeks and potatoes.
Paralegal,273,1.5,"Fresh Brussels sprouts, great for roasting or steaming."
Quality Engineer,954,3,"All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner."
Media Manager II,602,3,Snooze function and LED display for easy reading.
Structural Analysis Engineer,783,1.5,Unsweetened coconut flakes for baking and snacking.
Professor,245,3,Wearable device to track fitness activities and heart rate.
Systems Administrator IV,173,3,Light and breezy dress perfect for summer outings with a vibrant floral pattern.
Human Resources Manager,495,3,"A zesty salsa made with peaches and mangos, great for chips."
Research Assistant IV,416,4,Healthy pasta alternative made from chickpeas
Statistician IV,320,1.5,Delicious veggie burgers loaded with grilled vegetables.
Programmer I,894,16,Juicy and tender boneless chicken breasts.
General Manager,34,3,Unique handcrafted utensils for cooking and serving.
Data Coordinator,244,3,Custom keychain with engraved text.
Sales Associate,476,3,Hard-shell case for protecting sunglasses.
Sales Representative,975,3,High-resolution camera for stunning photos.
Dental Hygienist,740,1.5,A healthy mix of assorted dried fruits and nuts for snacking.
Teacher,83,3,"A frozen pizza topped with fresh mozzarella, tomatoes, and basil."
Web Developer IV,406,4,"Compact, waterproof blanket for picnics and events."
Senior Quality Engineer,68,1.5,Crispy almonds coated with cinnamon and sugar for a sweet and crunchy snack.
Human Resources Manager,813,3,Organize coffee capsules with this stylish dispenser.
Financial Analyst,527,1.5,Automatic water fountain for pets with filtration.
Dental Hygienist,781,3,Complete set of cooking utensils made from bamboo.
Speech Pathologist,199,3,Frozen cauliflower rice blended with mixed vegetables and seasonings.
Clinical Specialist,104,4,Eco-friendly phone case designed to decompose safely.
Director of Sales,482,3,"Crunchy granola with oats, nuts, and honey."
Librarian,536,4,Stream music from your device to any speaker wirelessly.
Marketing Assistant,256,3,Flexible light strips for creative home decor.
Professor,320,1.5,"Large, durable tote bag for shopping and outdoor activities."
Compensation Analyst,828,3,Set of elegant wine glasses for special occasions.
Account Coordinator,199,4.5,A tangy and spicy BBQ sauce that's perfect for grilling.
Librarian,135,11,Affordable fitness tracker with heart rate monitor.
Associate Professor,457,3,"Crispy baked falafel balls, perfect for salads"
Recruiter,174,10,A warm and sustainable wool scarf for chilly days.
Software Engineer I,448,3,Compact wireless printer for home use.
VP Marketing,124,3,Personalized wooden puzzles for children that encourage learning.
Research Associate,388,3,Adjustable grinders for fresh spices at the table.
Research Associate,361,4,Countertop dishwasher for small kitchens.
Chief Design Engineer,971,1.5,Leak-proof bottles for travel-sized toiletries.
Chemical Engineer,42,3,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection."
Physical Therapy Assistant,742,3,Powerful hand blender for soups and smoothies.
Senior Editor,229,1.5,"Wild-caught salmon filets, perfect for grilling or baking."
Information Systems Manager,722,3,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking."
Associate Professor,81,3,Lightweight windbreaker for outdoor activities.
Environmental Tech,18,3,Refreshing sparkling water with cucumber and lime flavor.
Statistician I,579,4,"Savory oatmeal ready to eat, great for breakfast or a snack."
Help Desk Technician,850,3,Bell peppers filled with quinoa and vegetables.
Programmer Analyst II,629,3,A blend of dried Italian herbs for cooking.
Web Developer I,393,3,"Fine semolina flour, perfect for pasta and desserts."
Assistant Professor,119,11,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner."
Automation Specialist II,70,1.5,Training tool for reinforcing commands and behavior in dogs.
GIS Technical Architect,871,4,High-quality matcha for making traditional tea or lattes.
Senior Sales Associate,601,10,Connect and control smart devices from one app.
Research Nurse,41,4,Flavorful dressing made with miso paste
VP Quality Control,633,4,Heavy-duty scissors for crafting and office use.
Product Engineer,477,3,Healthy pasta alternative made from chickpeas
Physical Therapy Assistant,963,1.5,Compact air purifier to improve indoor air quality.
VP Sales,687,3,"A sweet and spicy salsa made with mangoes and a hint of chili, great with chips or grilled chicken."
Business Systems Development Analyst,580,3,"Sustainable tank top made of bamboo cotton, offering breathability and comfort."
Junior Executive,521,4,Hearty tomato soup made from organic ingredients.
Recruiter,97,3,Foldable mat for jigsaw puzzle assembly.
Sales Associate,992,3,Storage solutions for keeping your car tidy and organized.
Human Resources Manager,309,3,A sleek leather wallet that combines style and functionality.
Sales Associate,290,1.5,A delicious sauce perfect for stir-frying or glazing meats.
Structural Engineer,420,3,"Spicy jalapenos stuffed with cheese, ideal for appetizers."
Sales Associate,152,4,"Raw brown sugar, perfect for baking or sweetening drinks."
Technical Writer,667,1.5,Timeless black trousers for a smart and sophisticated look.
Human Resources Manager,11,5,"Rich cream extracted from coconut milk, ideal for desserts."
Web Developer I,203,5,Custom engraved ID tags for pets with your contact information.
Environmental Specialist,574,10,Stone-ground mustard infused with craft beer for a gourmet touch.
Civil Engineer,440,3,Everything you need to make your own candles.
Community Outreach Specialist,501,3,Portable water bottle for pets when traveling.
Assistant Professor,819,3,Supportive pillow designed for a good night's sleep.
Administrative Assistant I,508,3,Hanging bird feeder for backyard birds.
Sales Associate,52,3,A crunchy blend of nuts and pretzels with a spicy kick.
Analyst Programmer,173,3,Herbal tea blend with ginger and turmeric for a soothing drink.
Systems Administrator III,381,3,Quick-cooking couscous flavored with herbs and spices.
Registered Nurse,117,12,Crunchy pretzel bites filled with peanut butter
Systems Administrator IV,106,13,Easy-to-make pancake mix with pumpkin spice flavor.
Structural Analysis Engineer,449,1.5,Creamy ice cream with refreshing mint flavor and chocolate chips.
Research Nurse,219,3,"A mix of strawberries, blueberries, and raspberries."
Registered Nurse,360,3,Space-saving shoe organizer for tight spaces.
Senior Editor,222,3,Light and crispy baked potato chips in assorted flavors.
Human Resources Manager,503,1.5,Durable bag for carrying your yoga mat and accessories.
Registered Nurse,357,10,"Savory pizza filled with pepperoni and cheese, ready to microwave."
Chief Design Engineer,80,3,"Grape leaves stuffed with rice and herbs, ready to eat."
Associate Professor,490,3,"Compact towels that expand when wet, ideal for travel."
General Manager,852,13,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care."
Social Worker,927,1.5,"Supportive sports bra designed for high-impact workouts, made with moisture-wicking fabric."
Staff Scientist,873,4,Crunchy granola with pumpkin spice flavor.
Statistician II,441,12,Lightweight and portable folding table for camping or picnics.
Business Systems Development Analyst,259,3,Comprehensive tool set for gardening enthusiasts.
Quality Engineer,754,4,Portable solar shower for camping and outdoor use.
Staff Scientist,547,12,Space-saving bike for indoor workouts.
Social Worker,648,3,Stylish baskets for organizing various items in your home.
Research Assistant I,866,4,Adjustable weighted jump rope for workouts.
Analyst Programmer,262,4,"Sweet blackberry compote, perfect for topping desserts."
Senior Quality Engineer,585,4,"Soft pita bread, perfect for sandwiches or dips."
Paralegal,176,4,Heavy-duty rake with adjustable width for different gardening needs.
Automation Specialist II,37,3,Lightweight and slim monitor ideal for dual-screen setups.
Structural Engineer,907,1.5,Gluten-free bread mix made with almond flour.
Developer IV,605,3,Multi-level cat tree for climbing and scratching.
Senior Sales Associate,323,3,"Pizza topped with barbecue chicken, cheese, and red onions."
Financial Analyst,801,3,HD streaming device for accessing popular services.
Pharmacist,802,4,High-quality whole wheat flour for baking and cooking.
Engineer III,45,5,Modern lamp featuring a USB port for convenient charging.
Junior Executive,239,17,Comprehensive tool set for gardening enthusiasts.
Registered Nurse,1000,3,Water-resistant Bluetooth speaker for showers.
Financial Advisor,664,3,"Delicious soft cookies, dairy-free and egg-free, perfect for treats."
Senior Financial Analyst,141,3,Eco-friendly string lights for outdoor decor.
Staff Scientist,335,2.5,Spicy salsa with chipotle and lime for a zesty kick.
Account Representative III,662,4,Savory lentil chips with BBQ flavor
Automation Specialist III,773,3,Crispy chicken nuggets for quick meals.
Director of Sales,338,3,Rechargeable massage gun for relieving muscle soreness.
Paralegal,632,4.5,"A mix of nuts roasted with spicy seasonings, perfect for snacking."
Design Engineer,758,3,"Sustainable tank top made of bamboo cotton, offering breathability and comfort."
Paralegal,705,3,"Shredded potatoes, perfect for breakfasts."
Food Chemist,254,3,Tangy whole grain mustard for sandwiches and dressings.
Research Assistant II,58,3,"Crunchy and nutritious almonds, perfect for snacking."
Software Engineer I,815,3,"Golden brown potato tots, crispy on the outside and fluffy inside."
Sales Associate,904,1.5,Blender for smoothies with a portable cup.
Nuclear Power Engineer,278,3,Microwaveable heat pad for soothing muscle aches.
Data Coordinator,540,3,Bright LED flashlight with adjustable beam.
Physical Therapy Assistant,884,3,"Delicious turkey bacon, a healthier alternative."
Help Desk Technician,116,5,"Continuous stream of fresh water for pets, promoting hydration."
Administrative Officer,602,1.5,Delicious canned pineapple rings for desserts or salads.
Assistant Manager,118,3,Prepped vegetables and sauces for a quick Asian stir-fry meal.
Business Systems Development Analyst,565,3,Complete set of gardening tools for outdoor tasks.
Environmental Tech,990,3,"A blend of nuts, seeds, and spices for a healthy snack."
Assistant Manager,958,18,High-quality cutlery set for daily use or special occasions.
Environmental Tech,181,4,Comfortable eye mask that includes noise-canceling ear plugs.
Operator,827,5,"A blend of nuts, seeds, and spices for a healthy snack."
Environmental Tech,172,3,"A hearty salad with grains, dried fruits, and nuts."
Professor,592,4,Flexible molds perfect for baking cakes and pastries.
Registered Nurse,50,3,Self-cleaning grooming brush for cats and dogs.
Research Associate,52,5,"Rich spaghetti sauce, a perfect pasta sauce."
Assistant Manager,777,3,"Nutritious protein bar with cherry and almond flavor, great for on-the-go."
Desktop Support Technician,394,1.5,Portable rechargeable warmer for cold days.
Account Executive,263,4,Stainless steel travel mug that keeps drinks hot or cold.
Project Manager,445,1.5,Stylish black leather jacket featuring a zip-up front and multiple pockets.
Help Desk Operator,745,1.5,BPA-free sports bottle with flip-top lid.
Teacher,445,3,Crunchy croutons with a blend of herbs for salads.
Programmer I,457,1.5,Space-saving solution to store shoes and keep them organized.
Internal Auditor,202,3,Creamy mashed potatoes infused with roasted garlic flavor.
Editor,807,10,Insulated mug to keep drinks hot on the go.
Geological Engineer,294,3,A protein-packed pancake mix for a nutritious breakfast.
Account Executive,12,13,Shredded cabbage and carrots for coleslaw.
Office Assistant IV,648,1.5,Fast and accurate thermometer for grilling and cooking.
Business Systems Development Analyst,936,4,"Hearty beef chili, ready to heat and eat."
Developer III,18,4,"Creamy, dairy-free Alfredo sauce"
Developer II,350,12,A retro-style button-down shirt with a relaxed fit.
Chief Design Engineer,226,3,Sweet mixture of cinnamon and sugar for sprinkling.
Quality Control Specialist,835,17,Notepad made from recycled paper for sustainable note-taking.
VP Marketing,770,3,Sweet and tangy jam made from natural apricots.
Environmental Tech,672,3,Convert your desk to a standing desk easily.
Analog Circuit Design manager,30,3,Convenient holder for drinks and phones while driving.
Teacher,24,3,"Crunchy granola with maple syrup and pecans, great for breakfast or snacking."
Actuary,354,17,"Delicious vegetable dumplings, perfect for steaming or frying."
Editor,345,3,"A flavorful garlic butter blend, perfect for cooking or baking."
Automation Specialist IV,582,4.5,"Crispy and chewy granola bars, perfect for on-the-go."
Help Desk Operator,799,3,"A light and tangy dressing with poppy seeds, perfect for salads."
Account Executive,38,1.5,True wireless earbuds with excellent sound quality.
VP Quality Control,860,3,A fragrant blend of Italian herbs for pasta sauces and marinades.
Research Associate,682,1.5,Indoor gardening kit with herbs and pots.
Nuclear Power Engineer,292,3,Delicious cookies packed with oats and raisins.
VP Accounting,432,13,Sanitary holder that ensures your toothbrush stays clean.
Director of Sales,14,3,Multi-functional gloves for planting and digging without tools.
Structural Analysis Engineer,124,3,A timeless baseball cap that adds a sporty touch to any outfit.
Teacher,777,4,Fun gardening tools designed specifically for kids.
VP Quality Control,589,3,Spreadable cream cheese with garlic and herbs.
Tax Accountant,421,11,Space-saving collapsible bottle for outdoor activities.
Junior Executive,85,4,"A creamy spread made with chocolate and hazelnuts, perfect for toast."
Computer Systems Analyst III,740,1.5,"Rich and creamy dressing with garlic flavor, perfect for salads."
VP Marketing,885,3,Small toolkit with essentials for home repairs.
Software Test Engineer I,304,4,"Layers of pasta, veggies, and cheese baked to perfection."
Engineer IV,414,16.5,"Crunchy, toasted coconut chips for snacking."
Nurse Practicioner,672,3,Complete set to brew coffee with different methods.
Chemical Engineer,623,6,"Creamy chickpea dip, perfect for veggies or pita."
Senior Financial Analyst,383,5,Complete kit for emergency situations including food and water.
Electrical Engineer,924,4,Smart robotic vacuum for automatic cleaning.
Teacher,182,3,Easy-to-make pancake mix with pumpkin spice flavor.
Financial Analyst,133,3,Versatile puff pastry for pies and pastries.
Food Chemist,977,3,Eco-friendly electric bike with a 30-mile range.
Programmer III,79,3,Everything you need to make your own scented candles at home.
Information Systems Manager,474,3,Convenient magnetic jars for easy spice storage.
Senior Editor,951,4,"Freshly baked French baguette, perfect for dipping."
Speech Pathologist,533,3,Reusable silicone mats for non-stick baking.
Recruiting Manager,20,3,Complete set of gardening tools for outdoor tasks.
Research Associate,273,13,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners."
Data Coordinator,641,5,Absorbent training pads for puppies and kittens.
Information Systems Manager,94,3,A tangy sauce that combines lemon zest and basil for a refreshing flavor.
Chemical Engineer,711,5,Spicy chili sauce for an extra kick in your meals.
Administrative Assistant IV,826,3,Charming frame to showcase your favorite photos.
Senior Cost Accountant,746,4,Natural honey sourced from wildflowers.
Product Engineer,197,3,Insulated water bottle for keeping drinks cold.
Chemical Engineer,801,3,Practical cargo pants with lots of pockets for functionality.
Help Desk Operator,149,3,Everything you need to make your own candles.
Product Engineer,413,3,"A blend of assorted nuts, perfect for snacking or adding to recipes."
Nurse,324,4,Complete kit for crafting your own scented soaps.
Chief Design Engineer,390,3,Wireless earbuds designed for immersive sound experience.
VP Quality Control,948,12,Soft oatmeal cookies with maple and pecans.
Electrical Engineer,920,3,A tailored slim fit shirt for a polished look at work.
VP Marketing,202,3,Comfortable and adjustable harness for dogs.
Structural Analysis Engineer,763,4,Organizational cubes for easy packing and travel.
Paralegal,448,3,A sweet and spicy sauce ideal for spring rolls or chicken nuggets.
Civil Engineer,856,3,"Floral and refreshing herbal tea, great hot or iced."
Cost Accountant,190,16,Adjustable phone mount for car dashboard.
Environmental Tech,660,1.5,Stylish fruit basket for kitchen or dining room.
Data Coordinator,978,3,"Rich cream extracted from coconut milk, ideal for desserts."
Recruiter,210,3,Designed for comfort and performance during workouts.
Human Resources Manager,404,3,Eco-friendly phone case designed to decompose safely.
Office Assistant I,672,3,Multi-level cat tree for climbing and scratching.
Business Systems Development Analyst,140,3,Citrusy lemons perfect for drinks and cooking.
Associate Professor,911,4,"Rich and smooth cold brew coffee concentrate, just add water or milk."
Sales Associate,328,3,Manual pasta maker for creating fresh pasta at home.
Health Coach III,196,1.5,Stylish desk set to keep your workspace tidy and organized.
Editor,350,4.5,Portable mixer bottle for smoothies and protein shakes.
Computer Systems Analyst I,750,3,Add a pop of color with this stylish patterned knit scarf.
Civil Engineer,427,6,Space-saving colander for rinsing fruits and vegetables.
Internal Auditor,768,3,"A mix of wild rice with herbs and spices, ready to serve."
Help Desk Technician,519,3,Durable and non-stick ceramic cookware for healthy cooking.
Design Engineer,511,1.5,"Quick-cooking couscous, great as a side or base."
Information Systems Manager,869,3,Sweet and tangy honey mustard dip for snacks.
Operator,855,1.5,Twisted pasta perfect for salads and pasta dishes.
VP Marketing,485,3,Stylish hooks to easily hang shower curtains.
Senior Quality Engineer,414,4,Rich and creamy pudding made with ripe avocados and cocoa.
Software Engineer I,58,3,All-in-one kit for brewing beer at home.
Human Resources Manager,255,3,"A delicious savory quinoa pudding, great as a side dish."
Assistant Manager,710,4,Blender for smoothies with a portable cup.
Librarian,700,5,"Fresh and zesty salsa, perfect for nachos."
Actuary,114,4,High-quality matcha powder for smoothies and baking.
Staff Accountant II,517,4,Breathable mesh sports leggings for ultimate comfort.
Business Systems Development Analyst,195,3,Light and crunchy rice cakes with a variety of flavors.
Human Resources Manager,750,1.5,Soft oatmeal cookies with maple and pecans.
Engineer II,822,1.5,Refreshing dessert bars made with pineapple and coconut.
Geological Engineer,647,1.5,Set of magnetic jars for convenient spice organization.
Dental Hygienist,393,4,Popcorn tossed with sweet or savory flavors for a tasty snack.
Statistician II,966,4,Stylish insulated lunch bag for on-the-go meals.
Office Assistant III,40,3,Eco-friendly utensil set made from natural wood.
Project Manager,382,3,Eco-friendly yoga mat made from sustainable materials.
Occupational Therapist,801,4,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes."
Systems Administrator IV,389,13,"Canned beans with chili sauce, perfect for chili dishes."
VP Marketing,803,3,Airtight container to keep pet food fresh.
Financial Analyst,381,3,Popcorn tossed with sweet or savory flavors for a tasty snack.
Senior Sales Associate,812,3,Abstract canvas print to enhance home decor.
Accounting Assistant III,689,3,Miso paste for making traditional Japanese miso soup.
Environmental Specialist,769,3,Charming frame to showcase your favorite photos.
Food Chemist,116,3,Lightweight and durable hammock for relaxing in nature.
Senior Cost Accountant,657,3,Sweet mixture of cinnamon and sugar for sprinkling.
Software Consultant,706,3,Marinated grilled chicken breasts seasoned with garlic and herbs.
Marketing Assistant,685,3,Savory teriyaki sauce for stir-frying veggies or meats.
Staff Accountant II,95,3,Advanced electric toothbrush for effective cleaning.
Assistant Media Planner,406,3,Powerful blender for smoothies and soups.
Paralegal,775,1.5,Sweet and spicy salsa made with fresh peaches.
Project Manager,938,19,Eco-friendly utensil set made from natural wood.
Research Nurse,538,1.5,Compact action camera for capturing adventures.
Computer Systems Analyst III,574,1.5,Refreshing coconut water packed with electrolytes for hydration.
Physical Therapy Assistant,844,3,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal."
Operator,727,4,Fresh eggs from free-range chickens.
VP Accounting,247,3,Warm and stylish jacket for cold weather.
Staff Scientist,639,5,Durable baking sheet coated for easy food release.
Physical Therapy Assistant,920,4,"Sweet blackberry compote, perfect for topping desserts."
Office Assistant III,786,1.5,"A lightweight tank dress, ideal for warm weather outings."
Speech Pathologist,489,3,"Compact, waterproof blanket for picnics and events."
Payment Adjustment Coordinator,122,1.5,Essential survival gear kit for emergencies.
Tax Accountant,332,3,Soft corner protectors to keep babies safe at home.
Teacher,288,4,Compact fire pit for campfires and gatherings.
Community Outreach Specialist,377,3,GPS collar that monitors your pet's location and activity level.
Help Desk Technician,284,3,"Hearty chili made with beans and vegetables, a savory meal option."
Data Coordinator,838,3,High-quality leather wallet with multiple compartments.
Budget/Accounting Analyst III,165,1.5,Plant-based mix for a rich chocolate cake.
Research Associate,427,3,"Instant miso soup mix, just add hot water for a warm meal."
Junior Executive,607,3,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert."
VP Marketing,553,3,Gluten-free pancake mix made with almond flour.
Chief Design Engineer,300,3,Professional sharpening system for kitchen knives.
Occupational Therapist,444,12,Space-saving cup that folds flat for easy storage.
Software Engineer II,85,3,Delicious muffins filled with apples and a hint of cinnamon for breakfast.
Research Assistant I,979,3,Comfortable over-ear headphones with deep bass.
Recruiter,444,21,"Creamy risotto made with mushrooms and herbs, perfect as a side dish or main course."
General Manager,747,16,Comfortable and breathable backpack for carrying small pets.
Programmer II,868,3,"Soft and fluffy whole wheat pita bread, great for wraps."
VP Product Management,846,3,Compact keyboard for tablets and smartphones.
Professor,807,3,"Light and crispy baked chips, a healthier snack option."
Senior Editor,109,13,"A savory marinade for meats, perfect for grilling."
Senior Sales Associate,855,16.5,Creamy dessert made with rice and cinnamon.
Automation Specialist II,992,3,Soft and breathable cotton sweatpants perfect for lounging or workouts.
Account Executive,357,19,Hearty casserole with beef and enchilada sauce.
Systems Administrator IV,560,3,Rechargeable electric toothbrush with smart timer.
Operator,667,18.5,Artisan bread with caraway seeds for added flavor.
Account Representative III,878,3,"Sweet bread with cinnamon and raisins, great for breakfast or snacks."
Administrative Assistant IV,196,3,Bright flashlight with rechargeable batteries included.
Dental Hygienist,295,3,Assorted cloths for cleaning electronics and delicate surfaces.
Developer I,427,6,Flavorful dressing made with miso paste
Sales Representative,685,4,Lightweight and breathable running shorts for your workouts.
Assistant Media Planner,93,1.5,Portable case to organize and protect jewelry on trips.
Help Desk Operator,394,3,Magnetic puzzle assembly board for kids.
Nurse,108,3,A rich curry paste for making authentic Thai green curry at home.
Human Resources Assistant III,438,4.5,"Flavorful chicken sausage, low in fat and fully cooked."
Compensation Analyst,979,3,500-piece jigsaw puzzle featuring beautiful scenery.
Analyst Programmer,743,3,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal."
VP Marketing,58,3,"Refreshing green tea infused with peach, perfect for a hot day."
Geological Engineer,818,4,Water-resistant blanket for picnics and outdoor events.
Compensation Analyst,946,4,Comfortable and warm leggings perfect for colder weather.
Electrical Engineer,657,3,Multi-angle stand for easy viewing of devices.
Operator,123,1.5,"Smart tailored dress pants, perfect for work or formal events."
Sales Representative,942,21,Creamy pumpkin soup with spices
Design Engineer,193,3,"Smooth and creamy, ideal for spreads or baking."
Actuary,89,3,Rechargeable screwdriver with multiple bits for DIY projects.
Developer I,319,3,Light and fluffy popcorn coated in aged white cheddar.
Director of Sales,828,4,Bluetooth-enabled key tracker to find lost items easily.
Business Systems Development Analyst,158,3,A light and breezy top ideal for warm days.
Analog Circuit Design manager,192,3,"A blend of nuts, seeds, and spices for a healthy snack."
Human Resources Manager,571,1.5,Handheld sprayer designed for washing pets easily.
Help Desk Technician,782,5,Wireless microphone for singing and performances.
Senior Financial Analyst,343,4,Wi-Fi enabled plug for controlling devices from your smartphone.
Desktop Support Technician,804,3,Soft cotton pajama set for cozy nights in.
Payment Adjustment Coordinator,711,11,"A ready-to-eat soup with coconut milk, spices, and vegetables."
Payment Adjustment Coordinator,563,4.5,Compact jump starter for emergency vehicle starts.
Pharmacist,43,4,A mix to create a delicious onion dip for parties or snacking.
Budget/Accounting Analyst II,622,4,A retro-style button-down shirt with a relaxed fit.
Senior Financial Analyst,168,3,Extra soft electric blanket with adjustable heat settings.
Software Consultant,918,3,Nutritious chia seeds great for smoothies
Health Coach I,275,3,Natural elderberry syrup to boost immunity.
Accountant III,913,5,Light and fluffy popcorn coated in aged white cheddar.
Paralegal,885,3,Soft corner protectors to keep babies safe at home.
Project Manager,397,1.5,Compact hose reel to keep your garden tidy.
Payment Adjustment Coordinator,387,3,Comfortable trainers with mesh inserts for breathability.
Software Engineer I,800,5,Frozen mix for quick berry smoothies.
Speech Pathologist,762,1.5,Maintain freshness and dispense cereal easily.
Project Manager,880,3,Automated stirring for your drinks with just a press of a button.
Account Executive,944,4,Countertop dishwasher for small kitchens.
Librarian,179,3,Monitor and interact with your pet remotely with this camera.
Senior Cost Accountant,907,4,Universal mount for smartphones on motorcycles.
Environmental Specialist,124,3,Soft and cozy bathrobe perfect for relaxing at home.
Help Desk Technician,538,1.5,Durable and shatterproof silicone glasses for outdoor use.
Programmer Analyst III,246,1.5,Creamy soup full of rich mushroom flavor.
Help Desk Operator,322,13,"Canned pumpkin puree, perfect for pies and soups."
Geologist II,853,3,Training tool for reinforcing commands and behavior in dogs.
Chief Design Engineer,14,3,Comfortable gaming chair for long hours of play.
Web Developer I,336,3,Fresh organic blueberries perfect for snacking or baking.
Account Coordinator,531,18,"A creamy pumpkin soup with a blend of warm spices, ready to heat and serve."
Senior Cost Accountant,652,4,Durable gardening gloves with reinforced fingertips.
Internal Auditor,559,3,Automated stirring for your drinks with just a press of a button.
Design Engineer,623,4,32GB USB flash drive with fast data transfer speeds.
Electrical Engineer,284,4,Water-resistant Bluetooth speaker for showers.
Assistant Media Planner,667,2.5,Cute dispenser for bathrooms or kitchens featuring paw prints.
Data Coordinator,843,4,Automated litter box that cleans itself after each use.
Administrative Assistant II,260,4.5,Rich coconut milk for curries and desserts.
General Manager,202,3,Secure phone mount that wirelessly charges your device while driving.
Assistant Media Planner,950,3,"A delicious savory quinoa pudding, great as a side dish."
Media Manager II,278,5,Rechargeable electric wine opener for effortless uncorking.
Systems Administrator I,127,21,Compact action camera for capturing adventures.
VP Accounting,382,3,Relieve muscle tension and soreness with this foam roller.
Administrative Officer,627,3,Durable gardening gloves with reinforced fingertips.
Research Nurse,648,1.5,Stylish desk lamp featuring a USB charging port.
Statistician II,702,3,DIY LED strip lights with remote control.
Programmer Analyst III,899,4,Durable skipping rope with adjustable length for workouts.
Director of Sales,484,3,"Cold-pressed coconut oil, perfect for cooking, baking, or skin care."
Senior Editor,956,4,A rich sauce perfect for pasta or drizzling over vegetables.
Nuclear Power Engineer,648,3,Compact trash can for keeping your car clean.
Senior Editor,786,1.5,Reusable microfiber cloths for environmentally friendly cleaning.
Senior Sales Associate,840,5,Bluetooth speakers with excellent sound quality.
Sales Representative,938,3,Durable lunch box designed to keep food fresh and cool.
Software Consultant,885,3.5,"Sweet and crisp apples, perfect for snacking."
Research Assistant IV,577,3,Indoor gardening kit with herbs and pots.
Web Developer III,882,5,Soft and cozy slippers for indoor wear.
Cost Accountant,425,3,Inspiring cookbook with healthy recipes.
Professor,260,4,DIY kit to make your own elderberry syrup.
Senior Financial Analyst,682,3,"Tangy goat cheese infused with herbs, perfect for snacking."
Food Chemist,217,3,Powerful electric pressure washer for deep cleaning.
Pharmacist,424,9.5,BPA-free glass containers for safe food storage.
Data Coordinator,435,1.5,Moist and flavorful muffins packed with fall spices and pumpkin puree.
Health Coach II,781,3,Colorful building blocks for creative play.
Assistant Professor,183,3,"Sweet and tender peach slices preserved in syrup, great for desserts."
Administrative Assistant IV,582,5,"Crispy and juicy chicken tenders, perfect for dipping."
Automation Specialist II,107,5.5,Portable mixer bottle for smoothies and protein shakes.
Nurse,244,3,"A delicious creamy dip featuring spinach and artichokes, perfect for parties."
Senior Editor,705,3,Creamy soup full of rich mushroom flavor.
Account Coordinator,445,3,Crispy roasted chickpeas seasoned to perfection
Systems Administrator I,835,14,Comprehensive first aid kit for home or travel emergencies.
Director of Sales,961,4,Artisan-made sourdough bread with a tangy flavor.
Librarian,116,4,Electric indoor grill for quick meals.
Electrical Engineer,69,3,Delicious veggie burger patties for grilling or frying.
Information Systems Manager,106,3,Handy belt for carrying garden tools while working.
Software Test Engineer III,378,19,Unique handcrafted utensils for cooking and serving.
Software Test Engineer I,331,3,Wide pasta sheets for making lasagna.
Analog Circuit Design manager,221,4,"Fluffy and delicious pancake mix, perfect for a gluten-free breakfast."
